district,city,mean
   حي الاسكان , الرياض,415000.0
   حي حطين , الرياض,296000.0
   حي الواحة , جدة,290000.0
   حي الاصالة , جدة,250000.0
   حي جرير , الرياض,235000.0
   حي الخالدية , جدة,221428.0
   حي الوادي , الرياض,214000.0
   حي السفارات , الرياض,212000.0
   حي النموذجية , الرياض,210000.0
   حي النزهة , الرياض,191000.0
   حي المؤتمرات , الرياض,187500.0
   حي الملك عبدالله , الرياض,187500.0
   حي الشاطئ , جدة,184727.0
   حي الحمدانية , جدة,181818.0
   حي الاندلس , جدة,176666.0
   حي الخزامى , الرياض,175000.0
   حي النخيل , الرياض,172500.0
   حي الرحمانية , الرياض,169285.0
   حي العقيق , الرياض,169000.0
   حي ام الحمام الغربي , الرياض,168600.0
   حي الورود , الرياض,165000.0
   حي الرائد , الرياض,165000.0
   حي الندى , الرياض,164000.0
   حي الزهراء , جدة,160714.0
   حي الحزام الاخضر , الخبر,160000.0
   حي البوادي , جدة,160000.0
   حي الحمراء , الرياض,160000.0
   حي الاندلس , الخبر,160000.0
   حي المرجان , جدة,157500.0
   حي الحمراء , جدة,155714.0
   حي المرجان , الخبر,150000.0
   حي شبرا , الرياض,150000.0
   حي الوزارات , الرياض,150000.0
   حي المروج , الرياض,145000.0
   حي المنتزه , جدة,145000.0
   حي المرسلات , الرياض,141250.0
   حي المنتزه , الدمام,140000.0
   حي المناخ , الرياض,140000.0
   حي الملقا , الرياض,135000.0
   حي الازدهار , الرياض,130000.0
   حي التعاون , الرياض,128750.0
   حي السليمانية , الرياض,128541.0
   حي الروضة , الرياض,126538.0
   حي المحمدية , الرياض,125000.0
   حي الواحة , الرياض,124166.0
   حي النفل , الرياض,124000.0
   حي الصفا , جدة,122714.0
   حي الزمرد , جدة,121595.0
   حي القدس , الرياض,121000.0
   حي الكورنيش , الخبر,120000.0
   حي الجزيرة , الرياض,118333.0
   حي الملك عبدالعزيز , الرياض,115000.0
   حي الفيصلية , جدة,115000.0
   حي الرحاب , جدة,115000.0
   حي الربيع , الرياض,113571.0
   حي العقربية , الخبر,112500.0
   حي العليا , الرياض,112419.0
   حي ابحر الجنوبية , جدة,112222.0
   حي المحمدية , جدة,111862.0
   حي النهضة , جدة,111666.0
   حي القيروان , الرياض,110384.0
   حي الياسمين , الرياض,110227.0
   حي الفلاح , الرياض,110000.0
   حي البساتين , جدة,108795.0
   حي الروضة , جدة,108427.0
   حي الصحافة , الرياض,108095.0
   حي السلامة , جدة,107142.0
   حي الحزام الذهبي , الخبر,106250.0
   حي الحزم , الرياض,105500.0
   حي النعيم , جدة,104130.0
   حي النرجس , الرياض,102542.0
   حي قرطبة , الرياض,101111.0
   حي المصيف , الرياض,101000.0
   حي الجوهرة , الخبر,100000.0
   حي الامواج , جدة,100000.0
   حي مطار الملك خالد الدولي , الرياض,100000.0
   حي المدينة الصناعية الجديدة , الرياض,100000.0
   حي الملك فهد , الرياض,97857.0
   حي الربوة , الرياض,97250.0
   حي الربوة , جدة,97000.0
   حي ام الحمام الشرقي , الرياض,95000.0
   حي الضباط , الرياض,95000.0
   حي غرناطة , الرياض,95000.0
   حي العارض , الرياض,94773.0
   حي ابحر الشمالية , جدة,94700.0
   حي بنبان , الرياض,92500.0
   حي اليرموك , الخبر,92500.0
   حي قرطبة , الخبر,92500.0
   حي الريان , جدة,92500.0
   حي الملز , الرياض,90500.0
   حي الحمراء , الدمام,85918.0
   حي النورس , الدمام,85000.0
   حي الثقبة , الخبر,85000.0
   حي الراكة الجنوبية , الخبر,84000.0
   حي الشهداء , الرياض,82500.0
   حي عليشة , الرياض,81666.0
   حي الشاطئ الشرقي , الدمام,81250.0
   حي التحلية , الخبر,80973.0
   حي الفردوس , جدة,80000.0
   حي الخزامى , الخبر,80000.0
   حي البحيرة , الخبر,79215.0
   حي المنار , الدمام,78897.0
   حي الفيحاء , الرياض,78888.0
   حي النزهة , الدمام,76666.0
   حي السويدي الغربي , الرياض,76666.0
   حي الشراع , جدة,76666.0
   حي الصوارى , جدة,75000.5
   حي السيف , الدمام,75000.0
